,text,ad hominem,anecdotal fallacy,appeal to authority,appeal to consequences,appeal to emotion,appeal to fear,appeal to novelty,appeal to popularity,appeal to ridicule,appeal to tradition,argument from ignorance,bandwagon fallacy,circular reasoning,correlation vs. causation,equivocation,false analogy,false attribution,false dilemma,genetic fallacy,guilt by association,hasty generalization,no true scotsman,red herring,slippery slope,straw man,tu quoque,appeal to motive,loaded question,misleading vividness,none,composition/division,other
33,"When Donald Trump spoke in Phoenix, he looked the audience in the eye and he said no, were building a wall and were deporting everybody. He said, quote, they will all be gone. They will all be gone. This is one of the ones where you can go to the tape on it and see what Donald Trump has said.",0.0,0,0.0,0,1,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0.0,0,0,0.0,0.0
34,"Says that according to many reports and even our own data, the state of Texas spent more through Medicaid on orthodontia than all other states combined.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
35,"Health care reform ""establishes a new board of federal bureaucrats (the 'Health Benefits Advisory Committee') to dictate the health plans that all individuals must purchase.""",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,1,1,0.0,0,0.0,0,0,0.0,0.0
36,"Some 20,000 Delphi salaried retirees lost up to 70 percent of their pensions as a result of political favoritism and backroom deals.",1.0,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1.0,2.0,1,1,1,1,1,1,1,0,1.0,1,1,1.0,1,0.0,0,0,0.0,1.0
37,everyone is doing it,0.0,0,0.0,0,0,0,0.0,1,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
38,"70 percent of the people who voted on June 5, 2012, just didnt feel comfortable with the recall of the governor, weakening any idea that Wisconsin is fully behind this Walker agenda.",0.0,0,0.0,0,0,0,0.0,1,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
39,"The “prophet” Nostradamus wrote about 500 years ago: Beasts wild with hunger will cross the rivers, The greater part of the battle will be against Hister. He will cause great men to be dragged in a cage of iron, When the son of Germany obeys no law. Surely he must have had some vision of Hitler!",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,1.0
40,You might be surprised to know that 137 billion gallons flows (into Lake Erie) every day. You might be surprised to know that only 86.3 billion gallons flow out. ... Leaving us a net surplus of approximately 50 billion gallons a day.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
41,"The federal government is sending refugees to states with governors who are Republicans, not to the Democrats.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,1.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
42,"Israel in the last three weeks haskilled more Palestinian children, more than 200, than the total number of Israeli soldiers killed in military operations since 2006.",0.0,0,0.0,0,1,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
43,Russia and China are doing naval exercises together someplace.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
44,"During my administration, for example, we boosted U.S. exports to Canada and Mexico by about 50 percent. That supports about 2.8 million American jobs.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
45,"Says a gun bill before the Senate would make it a federal felony to leave town for more than seven days, and leave someone else at home with your firearms.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,1,1,0.0,0,0.0,0,0,0.0,0.0
46,He has smoked cigarettes his entire life and he doesn't have lung cancer. Therefore smoking doesn't cause lung cancer.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
47,"Thanks to her enduring popularity with employees, Annie Smith is the best-liked CEO in our company's history.",1.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
48,Barack Obama opposed a bill that would have saved Gianna Jessen's life.,0.0,0,0.0,0,1,0,0.0,0,0,0,0.0,0,0.0,1.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
49,Says Ken Cuccinelli supported a law that could allow people to carry missile launchers into airports.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,1,1,0.0,0,0.0,0,0,0.0,0.0
50,Our competitors use unhealthy sugar substitutes and artificial sweeteners. But Rev-Up Energy Drink contains one hundred percent real cane sugar to fuel your body better.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,1.0
51,Amanda Murphy has two vacation homes around the world.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
52,"In Washington, Congressman Joe Heck supports privatizing (Social Security), turning our savings over to Wall Street and risking it on the stock market.",0.0,0,0.0,0,0,1,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0.0,0,0,0.0,0.0
53,"The universe has a beginning. Every thing that has a beginning has a cause. Therefore, the universe has a cause called God.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
54,"Thanks to Washington, nearly everyone will pay more in taxes in 2013. Somehow people think its just the wealthy. Its not.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,1,0.0,0,0.0,0,0,0.0,0.0
55,I am a candidate. I have not withdrawn.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
56,Oregon and the federal government now have more than one million acres of burnt land and millions of trees are being left to rot.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
57,Says Jeff Stone = Scott Walker.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
58,Study after study have shown that sanctuary cities do not lead to an increase in crime because of the presence of people that are undocumented.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
59,"All judges are fair-minded individuals;  therefore, Judge Ito is fair in his decisions.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,1.0
60,We came out against Deepwater and everybody is now paying for [the project] in their electric bills.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
61,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.",1.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
62,95 percent of the income gains in the last few years have gone to the top 1 percent.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
63,You're with us or you're against us.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
64,"Florida has the most concealed weapon permits in the nation, nearly double that of the second state, which is Texas.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
65,"Romneycare has killed 18,000 Massachusetts jobs.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,1.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
66,The Clinton camp was the first to get it out there and try to say there was something untoward about the speech that Melania Trump gave.,1.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0.0,0,0,0.0,0.0
67,"Portland Public Schools invites well-paid, well-fed school bureaucrats, administrators, teachers, other staff, non-needy students, affluent parents of students, and other adults, including on the other extreme the adult homeless, illegal aliens, fanatical Muslim terrorists, or drug addicted street people, to enjoy cheap breakfasts in taxpayer-paid school facilities amidst school children.",1.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,1,0,0.0,0,0.0,0,0,0.0,0.0
68,Says PolitiFact listed Governor Scott Walker of Wisconsin as the Governor who told the most lies and our own untruthful Governor Chris Christie made it into Politifacts top five of Lie - en Governors.,0.0,0,1.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
69,"So far in 2015, there have been more mass shootings than days.",0.0,0,0.0,0,1,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
70,"Alison Alter has exploited a campaign finance loophole to obtain over $64,000 in public dollars to fund her campaign.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
71,"Bill: Hey, did you hear we have a new operating system out now?  It is better than anything else out there because we just released it! Steve: What’s it called? Bill: Windows Vista! Steve: Sounds wonderful!  I can’t wait until all of your users install it on all their computers!",0.0,0,0.0,0,0,0,1.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
72,Chris Jacobs has been financed by the same men who are now facing charges in one of Western New Yorks largest public corruption schemes,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,1,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
73,The 2006 Massachusetts health care law has added (only) about 1 percent to our state budget.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
74,Says Democratic recall opponent Mahlon Mitchell sent a letter encouraging folks to boycott more than 100 companies.,1.0,0,0.0,0,0,1,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,1,0.0,0,0.0,0,0,0.0,0.0
75,"Democratic presidents ""have been considerably more effective at creating private-sector jobs.""",0.0,1,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,1.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
76,Georgia has recovered more than $60 million that was lost to Medicaid fraud,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
77,Missouri is the state with the lowest paid workers.,0.0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,0.0,1.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
78,"She is a teacher in a public school, so any claims that she makes about the public school system are biased and untrue.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
79,About 57 percent of registered Democrats in the new (9th Congressional) district come from my old district.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
80,"More than 400 car crashes occur each year on the current, congested Columbia River Bridge.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
81,Our gang will beat up anyone who doesn’t vote our way,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,1.0
82,The highest paid employee of the State of Rhode Island is a basketball coach.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
83,"Only asking 5 people their opinion about Christian Heritage and saying their opinions are the ""majority"" of people.",0.0,1,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
84,"Senator Jones supports a strong national defense. If you do vote for him, our country will be invaded, and it will start World War III.",0.0,0,0.0,0,0,1,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
85,"McCain is ""selectively editing Joe Biden's words...Biden actually said about Barack Obama: 'They're gonna find out this guy's got steel in his spine.'""",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0.0,0,0,0.0,0.0
86,The average Republican voter thinks there should be some revenue as part of this deal.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
87,If we just froze spending at 2007 levels ... by 2013 we would balance the budget ... and by 2020 we would cut the national debt in half.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,1.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
88,Wisconsins dead last in Midwest job growth.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
89,Birthers have obtained a copy of Obamas Kenyan birth certificate.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
90,"Right now, Texas doesnt have an income tax and Oklahomas lowering their income tax rates, and guess what their severance tax is? Sky high.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
91,"We just dont want to get to be like Louisiana, where you have drive-up daiquiri shops.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0.0,0,0.0,0,0,0.0,0.0
92,"A 2005 Gallup Poll found that an estimated 25% of Americans over the age of 18 believe in astrology—or that the position of the stars and planets can affect people's lives.  That is roughly 75,000,000 people.  Therefore, there must be some truth to astrology!",0.0,0,0.0,0,0,0,0.0,1,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
93,I get the most money from active duty officers and military personnel.,0.0,0,1.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
94,"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,1.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
95,"If you look at our tax mix, the share of corporate revenues as a percentage of our overall revenue mix has declined by about half over the last 30 years.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
96,Says 99 percent of the time police officers arent charged when they kill young people of color.,0.0,0,0.0,0,1,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
97,"The Internal Revenue Service spent $60,000 on a Star Trek training video.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
98,"Says President Barack Obama promised he would cut the deficit in half, but instead will at least double it.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
99,"Scientist: Evolution explains how animals developed, adapted and diversified over millions of years. Opponent: If we evolved from monkeys, why are there still monkeys? And why don't we have three arms? Wouldn't that give me a competitive advantage?",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0.0,0,0,0.0,0.0
100,"Theres only one of us whos actually cut government spending -- not two, theres one and youre looking at him.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,1.0,0.0,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
101,In states that have private-sale background checks for handguns 49 percent fewer women are shot and killed.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,1.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
102,"Says Patrick Murphy supports a gun ban on commonly owned semi-automatic firearms used for hunting, recreational shooting and self defense.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0.0,0,0,0.0,0.0
103,Says Austin is the largest city in the U.S. without nonstop flights to Europe.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
